timestamp_ms,iso_time,underlying,expiry,last_price,call_money_flow,put_money_flow,mf_ratio,call_delta_flow,put_delta_flow,df_ratio,call_iv_flow,put_iv_flow,ivf_ratio,call_otm_impact,put_otm_impact,call_itm_impact,put_itm_impact,call_gex,put_gex,net_gex,call_vanna_flow,put_vanna_flow,vanna_ratio,call_charm,put_charm,charm_pressure,call_iv_flow_itm,put_iv_flow_itm,call_iv_flow_otm,put_iv_flow_otm,iv_net,call_vol_imbalance,put_vol_imbalance,vol_imbalance_ratio,call_smart_money,put_smart_money,smart_money_ratio,call_hedge_pressure,put_hedge_pressure,net_hedge_pressure,skew_pressure,skew_intensity,cash_net
1767095827800,2025-12-30T06:57:07,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249069.91,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095828804,2025-12-30T06:57:08,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249069.91,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095829808,2025-12-30T06:57:09,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249069.84,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095830811,2025-12-30T06:57:10,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249079.77,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095831815,2025-12-30T06:57:11,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249089.51,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095832820,2025-12-30T06:57:12,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249089.51,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095833824,2025-12-30T06:57:13,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249073.29,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095834828,2025-12-30T06:57:14,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249094.55,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095835833,2025-12-30T06:57:15,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249094.55,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095836836,2025-12-30T06:57:16,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249094.55,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
